样本编号,原始视频相对路径,原始文件SHA256,文件字节数,容器时长_秒,OpenCV视频时长估计_秒,音频解码时长_秒,问题一有效时长_秒,问题一清单时长_秒,有效时长差_秒,原始视频帧率,原始视频帧数,有效时长内10fps帧数,视频宽,视频高,原始音频编码,原始音频采样率_Hz,原始音频声道数,解码采样率_Hz,解码音频采样点数,波形RMS,波形峰值,波形有效起点_秒,波形有效终点_秒,NPZ是否存在,词数,NPZ音频帧数,NPZ视频帧数,首词起点_秒,末词终点_秒,词区间均在原始时长内,NPZ音频统计与原始波形一致,核验状态
-wny0OAz3g8__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/5.mp4,6c6a8a4cba654b25190ab1793bfae81c3d2159ecd6cbc02d3fcbd598543acce0,1349104,9.967,9.866667,6.741437,6.741437,6.7414,-3.8e-05,30.0,296,68,1280,720,aac,44100,2,16000,107863,0.1799746179,1.216807723,0.0,6.74,True,20,675,99,0.5818502902984619,6.400352954864502,True,True,通过
-wny0OAz3g8__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/7.mp4,cbf9cac1048ce191aef781d0c4563eb97f9f3ddd52eb1f9551fa78d31d70e7cd,1016813,9.5,9.433333,7.9105,7.9105,7.9105,0.0,30.0,283,80,1280,720,aac,44100,2,16000,126568,0.1777470192,1.0776295662,0.0,7.91,True,29,792,95,0.1602126508951187,7.770313739776611,True,True,通过
-wny0OAz3g8__9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-wny0OAz3g8/9.mp4,b76f70fe783ee76bf1b637137226c98e67d13a6b15ec725894175b36cd76a136,1322886,9.867,9.766667,6.0435,6.0435,6.0435,0.0,30.0,293,61,1280,720,aac,44100,2,16000,96696,0.1524274564,0.8830974102,0.0,6.04,True,20,605,98,0.08031228929758072,5.882874965667725,True,True,通过
-571d8cVauQ__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,259577,5.167,5.066667,4.992312,4.992312,4.9923,-1.2e-05,30.0,152,50,486,360,aac,44100,2,16000,79877,0.0164431796,0.181507498,0.08,4.99,True,12,500,51,1.062620759010315,4.4108781814575195,True,True,通过
-571d8cVauQ__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,813771,18.5,18.4,15.11525,15.11525,15.1152,-5e-05,30.0,552,152,486,360,aac,44100,2,16000,241844,0.019398593,0.1748878658,0.0,15.11,True,43,1512,184,0.5405453443527222,14.594724655151367,True,True,通过
-I_e4mIh0yE__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/1.mp4,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df,487464,10.767,10.666667,7.444312,7.444312,7.4443,-1.2e-05,30.0,320,75,640,360,aac,44100,2,16000,119109,0.0546420137,0.7843006253,0.0,7.44,True,18,745,107,0.8226868510246277,6.882477760314941,True,True,通过
-I_e4mIh0yE__3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/3.mp4,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e,425914,9.3,9.2,8.994375,8.994375,8.9944,2.5e-05,30.0,276,90,640,360,aac,44100,2,16000,143910,0.0531573989,0.6953149438,0.0,8.99,True,22,900,92,0.5809284448623657,8.393414497375488,True,True,通过
-UacrmKiTn4__10,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/10.mp4,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360,486491,12.634,12.566667,7.242063,7.242063,7.2421,3.7e-05,30.0,377,73,470,360,aac,44100,2,16000,115873,0.03595346,0.2389825433,0.0,7.24,True,18,725,126,0.5215889811515808,6.700412273406982,True,True,通过
-UacrmKiTn4__4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/4.mp4,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84,249701,6.223,6.2,4.681938,4.681938,4.6819,-3.8e-05,30.0,186,47,470,360,aac,44100,2,16000,74911,0.0361294209,0.369508028,0.0,4.68,True,14,469,62,0.522447943687439,4.099206924438477,True,True,通过
-hnBHBN8p5A__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/7.mp4,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb,1409433,9.176,9.175833,7.308562,7.308562,7.3086,3.8e-05,23.976024,220,74,1280,720,aac,44100,2,16000,116937,0.0783068952,0.7873237133,0.0,7.3,True,13,731,92,0.0,7.308562278747559,True,True,通过
-hnBHBN8p5A__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-hnBHBN8p5A/6.mp4,997f6808ac3973ddd71800e91c8e10755c10b5037186d84348a79e00d672fdc7,1661111,11.429,11.428078,6.332813,6.332813,6.3328,-1.3e-05,23.976036,274,64,1280,720,aac,44100,2,16000,101325,0.0897538374,0.9799197912,0.0,6.33,True,13,634,115,0.3499999940395355,6.332812309265137,True,True,通过
-qDkUB0GgYY__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-qDkUB0GgYY/6.mp4,ab19bf4a761d3919b7113b1104ccaadbbf0c4e7b45694904d094280a2c329c8b,404331,9.683,9.666667,4.614687,4.614687,4.6147,1.3e-05,30.0,290,47,360,360,aac,44100,1,16000,73835,0.0313622744,0.2636934817,0.0,4.61,True,16,462,97,0.10031929612159729,4.0127716064453125,True,True,通过
-uywlfIYOS8__4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-uywlfIYOS8/4.mp4,fde46f5222cf5cfec7af9c93214c972ce2d686b0bf9c90a291021601968986f9,557194,14.334,14.266667,5.881125,5.881125,5.8811,-2.5e-05,30.0,428,59,480,270,aac,44100,2,16000,94098,0.054156991,0.3811353445,0.0,5.88,True,18,589,143,0.14050468802452087,5.278962135314941,True,True,通过
-6rXp3zJ3kc__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,59b77a0f873b7fa95e7327b93d64bb5a4bdae84039321988ef70bba8e63ee1ae,567350,16.58,16.566667,12.738,12.738,12.738,0.0,30.0,497,128,480,270,aac,44100,2,16000,203808,0.0710022549,0.7105945349,0.0,12.73,True,34,1274,166,0.5207358598709106,12.217264175415039,True,True,通过
-9y-fZ3swSY__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,29a1fd181293cdbe24e50edcad51e3cc0f27a5824d840bcc39d453b272fb6e3c,965453,6.9,6.833333,6.757,6.757,6.757,0.0,30.0,205,68,1280,720,aac,44100,2,16000,108112,0.0901706769,0.5832125545,0.0,6.75,True,22,676,69,0.04010089114308357,6.255739212036133,True,True,通过
-9y-fZ3swSY__4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,fe04a26710e85c58bdaad5a48618c7e0f742d82b0d920eb4a046c8f14a6921dc,1486121,9.334,9.233333,2.664813,2.664813,2.6648,-1.2e-05,30.0,277,27,1280,720,aac,44100,2,16000,42637,0.0908215718,1.0024819374,0.0,2.66,True,9,267,93,0.3431955575942993,2.5840606689453125,True,True,通过
-9y-fZ3swSY__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,6140d031e614b62a5d8df73346fef2417c28cee3501310aa95aa40d358b4b256,1715052,10.775,10.766667,4.917,4.917,4.917,0.0,30.0,323,50,1280,720,aac,44100,2,16000,78672,0.0909757782,0.6094566584,0.0,4.91,True,12,492,108,0.2609020471572876,4.4152655601501465,True,True,通过
-AUZQgSxyPQ__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,e09034b30bb4f8fb9f9c2568afc20f2a764e327fe6ef4e13f21804eaac51bb7b,4550251,27.3,27.266667,22.404563,22.404563,22.4046,3.7e-05,30.0,818,225,1280,720,aac,44100,2,16000,358473,0.1017649292,0.7867392302,0.0,22.4,True,41,2241,273,0.500548779964447,21.82392692565918,True,True,通过
-HeZS2-Prhc__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,edb0fa22fdfbd990c8174764af78670bd2ecad799240d35d96a1124a3cd9dc0c,896960,15.834,15.8,8.150875,8.150875,8.1509,2.5e-05,30.0,474,82,360,360,aac,44100,1,16000,130414,0.0415439813,0.3076124489,0.0,8.15,True,16,816,158,0.14018703997135162,8.130847930908203,True,True,通过
-MeTTeMJBNc__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/0.mp4,54e2097f7bdb455d243e72254e5af7ed16160739f2f3cfd22f57d2729ec1acbe,350827,9.334,9.3,9.218312,9.218312,9.2183,-1.3e-05,30.0,279,93,470,360,aac,44100,2,16000,147493,0.0569210379,0.4874641299,0.07,9.21,True,21,922,93,1.0019904375076294,8.597078323364258,True,True,通过
-MeTTeMJBNc__13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/13.mp4,80c5d996e5d7b61c58e1fe32d706efcaf80c8c8cddb5c37a5c66d527786c2a44,271826,7.467,7.366667,5.2555,5.2555,5.2555,0.0,30.0,221,53,470,360,aac,44100,2,16000,84088,0.0491137975,0.4715039134,0.0,5.25,True,14,526,74,0.12035496532917023,4.83425760269165,True,True,通过
-MeTTeMJBNc__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,40716dc7402fd6398038eded58ce939ec76be6afbeea346b968bf4c427088f3a,632477,17.367,17.333333,10.411312,10.411312,10.4113,-1.2e-05,30.0,520,105,470,360,aac,44100,2,16000,166581,0.0485070088,0.4297659397,0.0,10.41,True,31,1042,174,0.5405873656272888,9.850703239440918,True,True,通过
-RfYyzHpjk4__11,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/11.mp4,96e481cd732001239639c8cb4e7f94e570925e5a15940920ffab0cec1f13f904,2061678,11.7,11.6,5.074875,5.074875,5.0749,2.5e-05,30.0,348,51,1280,720,aac,44100,2,16000,81198,0.0247396623,0.1917292774,0.0,5.07,True,17,508,116,0.5817050337791443,4.513228416442871,True,True,通过
-RfYyzHpjk4__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/8.mp4,ed8c672c532b8c7d1c830c82d6e2c14fcb3bbd3dc1a86670a03a6c8e83c02f3c,2256195,11.657,11.633333,4.532375,4.532375,4.5324,2.5e-05,30.0,349,46,1280,720,aac,44100,2,16000,72518,0.0178762432,0.1966580749,0.0,4.53,True,17,454,117,0.48131412267684937,3.950786828994751,True,True,通过
-RfYyzHpjk4__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/2.mp4,5e428ee22de58c9d6561b9b4353bef9dfb811a5841d9ab07b5bc453d697ad17f,1138330,6.234,6.2,5.391813,5.391813,5.3918,-1.3e-05,30.0,186,54,1280,720,aac,44100,2,16000,86269,0.0335502981,0.322473824,0.0,5.39,True,25,540,62,0.5010978579521179,5.371768951416016,True,True,通过
-UUCSKoHeMA__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UUCSKoHeMA/0.mp4,3f9792888ec8e969f61cfb6cb4de7bdf7ef8944afe0a9d2a9d13586e1f13b898,286208,7.867,7.8,7.73225,7.73225,7.7322,-5e-05,30.0,234,78,470,360,aac,44100,2,16000,123716,0.0306585363,0.333704114,0.09,7.73,True,18,774,78,1.4422849416732788,7.19139289855957,True,True,通过
-ri04Z7vwnc__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/0.mp4,93021c70c8fad20ad3fded80e7fc790a2f9c96835de58a3b694c6906de42684b,188321,3.295,3.294956,2.76325,2.76325,2.7633,5e-05,23.976044,79,28,1280,720,aac,44100,2,16000,44212,0.2507991654,1.0767295361,0.0,2.76,True,8,277,33,0.0,2.7632501125335693,True,True,通过
-ri04Z7vwnc__2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/2.mp4,f5993ce3a6ee56298462c08692a96f78c7d914d7264257ed401de7d6e17fd148,460082,6.966,6.923578,5.913375,5.913375,5.9134,2.5e-05,23.976043,166,60,1280,720,aac,44100,2,16000,94614,0.2410010539,1.1896146536,0.0,5.91,True,16,592,70,0.0,5.574999809265137,True,True,通过
-ri04Z7vwnc__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-ri04Z7vwnc/5.mp4,2a5e4319bf592a18c8eb5117f7c7ec30c6c79528f9eac9fe4fb85bf70f277736,550439,5.965,5.922578,3.43975,3.43975,3.4398,5e-05,23.976046,142,35,1280,720,aac,44100,2,16000,55036,0.0593656559,0.3576313257,0.0,3.43,True,8,344,60,0.0,3.4397499561309814,True,True,通过
-s9qJ7ATP7w__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/1.mp4,a33e8f82a185bcb7648b523927308cdc2142e3076479ba2b45cd0e828636fc09,1431603,10.9,10.8,4.643813,4.643813,4.6438,-1.3e-05,30.0,324,47,1280,720,aac,44100,2,16000,74301,0.1192662404,1.3383404016,0.0,4.64,True,11,465,108,0.542783260345459,4.281956672668457,True,True,通过
-s9qJ7ATP7w__0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/0.mp4,f2324dbc6debe0d1e4254e6f943523373e3cbb30d8d0555413ce3a7b370a4af5,890272,6.867,6.8,6.710562,6.710562,6.7106,3.8e-05,30.0,204,68,1280,720,aac,44100,2,16000,107369,0.1280715774,1.3393862247,0.0,6.71,True,24,672,68,0.020031530410051346,6.129648208618164,True,True,通过
-s9qJ7ATP7w__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/5.mp4,bd35eb8de64ce1f8b27921294598f7cf5bb971255738f51d06458c7096c58eae,1432255,13.567,13.466667,8.397875,8.397875,8.3979,2.5e-05,30.0,404,84,1280,720,aac,44100,2,16000,134366,0.1269237869,1.1613194942,0.0,8.39,True,19,840,135,0.4008532166481018,7.816637992858887,True,True,通过
-s9qJ7ATP7w__4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/4.mp4,76e0672ffce5857a789b41fb10606402f7da58c33579b1032a8282f86fb35bc9,639360,6.2,6.1,4.246875,4.246875,4.2469,2.5e-05,30.0,183,43,1280,720,aac,44100,2,16000,67950,0.1446395091,1.3296308517,0.0,4.24,True,9,425,61,0.10016214847564697,3.44557785987854,True,True,通过
-s9qJ7ATP7w__7,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/7.mp4,5301f4403cf7cd299cc525d2f443392ac70fd70c3c9cd4a09406f2ba4df6734d,1601944,12.767,12.733333,6.838563,6.838563,6.8386,3.7e-05,30.0,382,69,1280,720,aac,44100,2,16000,109417,0.1035045943,1.3121170998,0.0,6.83,True,28,684,128,0.5615242123603821,6.6380181312561035,True,True,通过
-s9qJ7ATP7w__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/6.mp4,40b684fd1b4559f0f82e72f9b47f4ce7c5e15059fe8d0d8ab112637cd3386451,839808,6.6,6.5,2.314812,2.314812,2.3148,-1.2e-05,30.0,195,24,1280,720,aac,44100,2,16000,37037,0.1022993525,1.3086721897,0.0,2.31,True,5,232,65,0.5636065602302551,1.8518500328063965,True,True,通过
-s9qJ7ATP7w__8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-s9qJ7ATP7w/8.mp4,1de4d91bd9d9fb508a3779658747da88460db0bdb1beefe7ea5b2c77edfd2239,781494,6.6,6.566667,3.18425,3.18425,3.1843,5e-05,30.0,197,32,1280,720,aac,44100,2,16000,50948,0.1355605845,1.3318152428,0.0,3.18,True,12,319,66,0.5239905118942261,2.660259485244751,True,True,通过
-yRb-Jum7EQ__1,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/1.mp4,2f16da1baa8660e5bfc608f5237cdd59725d16e57a19bc02c4556cd2c7129a46,5017520,34.567,34.466667,29.10975,29.10975,29.1097,-5e-05,30.0,1034,292,1280,720,aac,44100,2,16000,465756,0.0167387343,0.234672755,0.0,29.1,True,49,2911,345,0.41999998688697815,28.864999771118164,True,True,通过
-yRb-Jum7EQ__5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/5.mp4,6d6145293cf84d1fc8324dfa8d39465e2d7fc07affb67ff68deeabf6e3c410d9,1599984,13.634,13.6,13.044562,13.044562,13.0446,3.8e-05,30.0,408,131,1280,720,aac,44100,2,16000,208713,0.0254644463,0.3133359551,0.0,13.04,True,25,1305,136,0.0,13.044562339782715,True,True,通过
-yRb-Jum7EQ__6,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-yRb-Jum7EQ/6.mp4,b51eb9ad06de804934cb6a315de591ba9ff7f8aa71bffff7f8001ab29945d989,1779127,15.488,15.4,11.242563,11.242563,11.2426,3.7e-05,30.0,462,113,1280,720,aac,44100,2,16000,179881,0.0226391437,0.2026833594,0.0,11.24,True,19,1125,154,0.3400000035762787,11.145000457763672,True,True,通过
